,Elapsed Time,Sample_Cell#,I_ph(suns),V_oc(V),mpp(V),J_sc(mA),R_sh,R_ser,FF,PCE(%)
561,20080.11280802091,WIFact1.0_2R_085130,0.805,1.0541019309285955,0.6500000000000021,23.48775200000001,793.369198034772,18.98260294552756,0.4627363314835415,11.456650400000036
563,20080.94469720125,WIFact0.8_2R_085220,0.805,1.0454263620343809,0.6500000000000021,18.867624000000003,2105.0278665161422,20.046662214667776,0.5055285898919827,9.971405600000034
565,20081.51330516736,WIFact0.6_2R_085255,0.805,1.031918091028732,0.700000000000002,14.203000000000005,1629.3054999677763,20.422249782825475,0.5510372747795584,8.076185600000024
567,20083.14998922745,WIFact0.4_2R_085433,0.805,1.0135829996696244,0.7250000000000019,9.204984,1733.2404997694791,22.66080323520825,0.6003834359439404,5.601586640000014
569,20083.749722357592,WIFact0.2_2R_085509,0.805,0.9674563235110712,0.7500000000000018,4.159756000000003,1037.194238209984,31.50843533750169,0.6224605533437021,2.505019200000006
571,20084.267694437505,WIFact0.1_2R_085540,0.805,0.9307293501190788,0.7250000000000019,2.011888000000003,1796.3460173533404,47.75333910445045,0.6004478948745529,1.124352620000003
573,20085.884526892503,WIFact0.1_2R_085717,0.805,0.9532198765979478,0.7500000000000018,2.6639688000000024,2575.805782606475,37.36593699665836,0.6446720154305824,1.637046600000004
575,20086.48882174492,WIFact0.08_2R_085753,0.805,0.9425211328621196,0.7500000000000018,2.123404000000002,2935.783336521018,50.19586829380085,0.6468348697665808,1.2945450000000034
577,20087.094156535462,WIFact0.06_2R_085829,0.805,0.9169678179881262,0.7250000000000019,1.5967112000000023,2177.1891777587944,56.8882681645233,0.6168057496143856,0.9030855200000024
579,20087.704166618983,WIFact0.04_2R_085906,0.805,0.8985189935725691,0.7250000000000019,1.0340488000000012,3406.413227501123,109.04776075570943,0.6121983461734057,0.5688011280000015
581,20088.299143886565,WIFact0.02_2R_085942,0.805,0.8224660713398265,0.6000000000000023,0.4750720800000017,2955.466645515991,277.82867599124296,0.4121315000359119,0.1610324160000006
583,20088.881659654777,WIFact0.01_2R_090017,0.805,0.5606638775018027,0.3250000000000033,0.2322480000000018,2570.044365040453,1344.9034914468916,0.2783611784006031,0.0362462620000003
585,20090.6155348142,WIFact0.01_2R_090201,0.805,0.6832983381615095,0.3500000000000032,0.2773927200000014,3200.358519481096,988.1919755017066,0.3060354365510086,0.0580065640000005
587,20091.21690677007,WIFact0.008_2R_090237,0.805,0.5718121769127348,0.3250000000000033,0.2224000800000014,3052.642094966547,1266.7605082851142,0.2803715570628763,0.0356551520000003
589,20091.8222028176,WIFact0.006_2R_090313,0.805,0.426744767477056,0.2250000000000036,0.1691886400000015,2904.610360249536,1498.8916835158018,0.2924688464229198,0.0211163580000003
591,20092.48668722709,WIFact0.004_2R_090353,0.805,0.3036604153606094,0.1500000000000039,0.1127033600000016,2686.3433298276814,1366.6486560595658,0.2508312148566028,0.0085843344000002
593,20093.08071418206,WIFact0.002_2R_090429,0.805,0.1019518080038756,0.0500000000000042,0.0604838319999948,-7109.220900050357,1709.2192056949175,0.2488747784263759,0.0015346704000001
595,20094.118509463467,WIFact0.001_2R_090531,0.805,0.0963309825799501,0.0500000000000042,0.0297596880000014,3160.397629572638,3239.5468117624173,0.2441412327913716,0.0006998992
597,20100.201022895177,WIFact0.001_2R_091136,0.805,0.126383528857502,0.0750000000000041,0.0370305040000012,3435.8943799553767,2743.600153174541,0.248931539782359,0.001165011
599,20101.252888476847,WIFact0.0008_2R_091239,0.805,0.089402914913087,0.0500000000000042,0.0321384400000015,2816.758050685533,2676.51876809219,0.2470575847198433,0.0007098632
601,20101.7483249108,WIFact0.0006_2R_091309,0.805,0.0890855145541716,0.0500000000000042,0.0244799040000012,3454.8132515338666,3730.980654536975,0.2324816919666468,0.0005069972
603,20102.2909442544,WIFact0.0004_2R_091341,0.805,0.0592302696051122,0.0250000000000043,0.0186123520000013,3167.9924007709737,3170.213586165885,0.2407709345580089,0.0002654294
605,20102.77713256677,WIFact0.0002_2R_091410,0.805,0.0326652833809962,0.0250000000000043,0.0660004480000212,270.50448816552296,2162.104568371272,0.0411110165519139,8.863220000001542e-05
607,20103.32165364027,WIFact0.0001_2R_091443,0.805,0.0282711141776557,0.0250000000000043,0.0298106400000035,916.6053492754568,2762.8922964462213,0.0351202446058606,2.959864000000515e-05
